ACCOUNT_ID,SN_TYPE,TOTAL_ENGAGEMENT,LIKES,SHARES,COMMENTS,REACH
Starbucks UAE (FB),Facebook,1178.0,1014.0,142.0,22.0,428044.0
Starbucks Brazil (TT),TikTok,1177.0,1059.0,32.0,86.0,326569.0
Starbucks Denmark (IG),Instagram,1079.0,864.0,200.0,15.0,43342.0
Starbucks Netherlands (FB),Facebook,761.0,602.0,35.0,124.0,188389.0
Starbucks Greece (FB),Facebook,759.0,719.0,28.0,12.0,147981.0
Starbucks Italy (FB),Facebook,700.0,654.0,28.0,18.0,391858.0
Starbucks Germany (FB),Facebook,582.0,527.0,33.0,22.0,137601.0
Starbucks Qatar (IG),Instagram,515.0,326.0,168.0,21.0,11462.0
Starbucks Portugal (FB),Facebook,396.0,379.0,13.0,4.0,1131754.0
Starbucks Cyprus (FB),Facebook,325.0,307.0,15.0,3.0,65117.0
Starbucks South Africa (FB),Facebook,313.0,241.0,48.0,24.0,37428.0
Starbucks Malta (FB),Facebook,258.0,219.0,27.0,12.0,109485.0
Starbucks Norway (FB),Facebook,221.0,193.0,2.0,26.0,57675.0
Starbucks Mexico (X),X,165.0,83.0,14.0,68.0,33115554.0
Starbucks Kuwait (FB),Facebook,163.0,153.0,7.0,3.0,10662.0
Starbucks Denmark (FB),Facebook,144.0,131.0,2.0,11.0,425779.0
Starbucks Uruguay (FB),Facebook,85.0,80.0,2.0,3.0,112175.0
Starbucks UK (X),X,61.0,26.0,2.0,33.0,41891635.0
Starbucks Azerbaijan (FB),Facebook,52.0,50.0,1.0,1.0,248833.0
Starbucks Austria (FB),Facebook,37.0,35.0,2.0,0.0,236709.0
Starbucks Paraguay (FB),Facebook,3.0,3.0,0.0,0.0,943.0
Starbucks UK GBP (FB Ads),Facebook,0.0,0.0,0.0,0.0,0.0
